ID,Stim,InverseSideScreen,Image1Name,Image2Name,mouseX,mouseY,response
testingWoof,S_00027,RightInverse,rcic_mnes_1_00027_inv.jpg,rcic_mnes_1_00027_ori.jpg,685,332,-1
testingWoof,S_00045,RightInverse,rcic_mnes_1_00045_inv.jpg,rcic_mnes_1_00045_ori.jpg,419,308,1
testingWoof,S_00086,RightInverse,rcic_mnes_1_00086_inv.jpg,rcic_mnes_1_00086_ori.jpg,586,303,-1
testingWoof,S_00059,LeftInverse,rcic_mnes_1_00059_inv.jpg,rcic_mnes_1_00059_ori.jpg,398,310,-1
testingWoof,S_00096,RightInverse,rcic_mnes_1_00096_inv.jpg,rcic_mnes_1_00096_ori.jpg,649,314,-1
testingWoof,S_00006,LeftInverse,rcic_mnes_1_00006_inv.jpg,rcic_mnes_1_00006_ori.jpg,593,306,1
testingWoof,S_00089,RightInverse,rcic_mnes_1_00089_inv.jpg,rcic_mnes_1_00089_ori.jpg,422,306,1
testingWoof,S_00065,LeftInverse,rcic_mnes_1_00065_inv.jpg,rcic_mnes_1_00065_ori.jpg,406,312,-1
testingWoof,S_00050,RightInverse,rcic_mnes_1_00050_inv.jpg,rcic_mnes_1_00050_ori.jpg,662,332,-1
testingWoof,S_00036,RightInverse,rcic_mnes_1_00036_inv.jpg,rcic_mnes_1_00036_ori.jpg,442,324,1
testingWoof,S_00025,RightInverse,rcic_mnes_1_00025_inv.jpg,rcic_mnes_1_00025_ori.jpg,393,318,1
testingWoof,S_00028,RightInverse,rcic_mnes_1_00028_inv.jpg,rcic_mnes_1_00028_ori.jpg,595,326,-1
testingWoof,S_00084,RightInverse,rcic_mnes_1_00084_inv.jpg,rcic_mnes_1_00084_ori.jpg,434,313,1
testingWoof,S_00029,RightInverse,rcic_mnes_1_00029_inv.jpg,rcic_mnes_1_00029_ori.jpg,644,320,-1
testingWoof,S_00054,LeftInverse,rcic_mnes_1_00054_inv.jpg,rcic_mnes_1_00054_ori.jpg,380,311,-1
testingWoof,S_00024,RightInverse,rcic_mnes_1_00024_inv.jpg,rcic_mnes_1_00024_ori.jpg,618,318,-1
testingWoof,S_00032,LeftInverse,rcic_mnes_1_00032_inv.jpg,rcic_mnes_1_00032_ori.jpg,626,297,1
testingWoof,S_00049,RightInverse,rcic_mnes_1_00049_inv.jpg,rcic_mnes_1_00049_ori.jpg,610,315,-1
testingWoof,S_00073,RightInverse,rcic_mnes_1_00073_inv.jpg,rcic_mnes_1_00073_ori.jpg,627,302,-1
testingWoof,S_00082,LeftInverse,rcic_mnes_1_00082_inv.jpg,rcic_mnes_1_00082_ori.jpg,560,289,1
testingWoof,S_00057,LeftInverse,rcic_mnes_1_00057_inv.jpg,rcic_mnes_1_00057_ori.jpg,390,326,-1
testingWoof,S_00009,LeftInverse,rcic_mnes_1_00009_inv.jpg,rcic_mnes_1_00009_ori.jpg,391,322,-1
testingWoof,S_00083,LeftInverse,rcic_mnes_1_00083_inv.jpg,rcic_mnes_1_00083_ori.jpg,405,329,-1
testingWoof,S_00060,RightInverse,rcic_mnes_1_00060_inv.jpg,rcic_mnes_1_00060_ori.jpg,355,328,1
testingWoof,S_00040,LeftInverse,rcic_mnes_1_00040_inv.jpg,rcic_mnes_1_00040_ori.jpg,416,326,-1
testingWoof,S_00021,RightInverse,rcic_mnes_1_00021_inv.jpg,rcic_mnes_1_00021_ori.jpg,379,326,1
testingWoof,S_00067,LeftInverse,rcic_mnes_1_00067_inv.jpg,rcic_mnes_1_00067_ori.jpg,400,346,-1
testingWoof,S_00011,RightInverse,rcic_mnes_1_00011_inv.jpg,rcic_mnes_1_00011_ori.jpg,406,338,1
testingWoof,S_00043,LeftInverse,rcic_mnes_1_00043_inv.jpg,rcic_mnes_1_00043_ori.jpg,549,344,1
testingWoof,S_00081,RightInverse,rcic_mnes_1_00081_inv.jpg,rcic_mnes_1_00081_ori.jpg,416,330,1
testingWoof,S_00016,RightInverse,rcic_mnes_1_00016_inv.jpg,rcic_mnes_1_00016_ori.jpg,398,329,1
testingWoof,S_00035,RightInverse,rcic_mnes_1_00035_inv.jpg,rcic_mnes_1_00035_ori.jpg,380,326,1
testingWoof,S_00099,RightInverse,rcic_mnes_1_00099_inv.jpg,rcic_mnes_1_00099_ori.jpg,636,328,-1
testingWoof,S_00094,RightInverse,rcic_mnes_1_00094_inv.jpg,rcic_mnes_1_00094_ori.jpg,342,312,1
testingWoof,S_00003,LeftInverse,rcic_mnes_1_00003_inv.jpg,rcic_mnes_1_00003_ori.jpg,632,307,1
testingWoof,S_00010,RightInverse,rcic_mnes_1_00010_inv.jpg,rcic_mnes_1_00010_ori.jpg,604,318,-1
testingWoof,S_00077,RightInverse,rcic_mnes_1_00077_inv.jpg,rcic_mnes_1_00077_ori.jpg,414,302,1
testingWoof,S_00044,RightInverse,rcic_mnes_1_00044_inv.jpg,rcic_mnes_1_00044_ori.jpg,423,314,1
testingWoof,S_00074,LeftInverse,rcic_mnes_1_00074_inv.jpg,rcic_mnes_1_00074_ori.jpg,648,344,1
testingWoof,S_00047,RightInverse,rcic_mnes_1_00047_inv.jpg,rcic_mnes_1_00047_ori.jpg,648,322,-1
testingWoof,S_00019,RightInverse,rcic_mnes_1_00019_inv.jpg,rcic_mnes_1_00019_ori.jpg,612,306,-1
testingWoof,S_00030,LeftInverse,rcic_mnes_1_00030_inv.jpg,rcic_mnes_1_00030_ori.jpg,635,295,1
testingWoof,S_00092,RightInverse,rcic_mnes_1_00092_inv.jpg,rcic_mnes_1_00092_ori.jpg,636,304,-1
testingWoof,S_00076,LeftInverse,rcic_mnes_1_00076_inv.jpg,rcic_mnes_1_00076_ori.jpg,401,302,-1
testingWoof,S_00061,LeftInverse,rcic_mnes_1_00061_inv.jpg,rcic_mnes_1_00061_ori.jpg,634,302,1
testingWoof,S_00015,LeftInverse,rcic_mnes_1_00015_inv.jpg,rcic_mnes_1_00015_ori.jpg,386,297,-1
testingWoof,S_00063,LeftInverse,rcic_mnes_1_00063_inv.jpg,rcic_mnes_1_00063_ori.jpg,642,308,1
testingWoof,S_00007,RightInverse,rcic_mnes_1_00007_inv.jpg,rcic_mnes_1_00007_ori.jpg,606,328,-1
testingWoof,S_00004,LeftInverse,rcic_mnes_1_00004_inv.jpg,rcic_mnes_1_00004_ori.jpg,609,318,1
testingWoof,S_00014,RightInverse,rcic_mnes_1_00014_inv.jpg,rcic_mnes_1_00014_ori.jpg,636,311,-1
testingWoof,S_00039,RightInverse,rcic_mnes_1_00039_inv.jpg,rcic_mnes_1_00039_ori.jpg,613,306,-1
testingWoof,S_00052,RightInverse,rcic_mnes_1_00052_inv.jpg,rcic_mnes_1_00052_ori.jpg,614,321,-1
testingWoof,S_00100,RightInverse,rcic_mnes_1_00100_inv.jpg,rcic_mnes_1_00100_ori.jpg,626,322,-1
testingWoof,S_00002,LeftInverse,rcic_mnes_1_00002_inv.jpg,rcic_mnes_1_00002_ori.jpg,395,298,-1
testingWoof,S_00018,RightInverse,rcic_mnes_1_00018_inv.jpg,rcic_mnes_1_00018_ori.jpg,636,319,-1
testingWoof,S_00062,LeftInverse,rcic_mnes_1_00062_inv.jpg,rcic_mnes_1_00062_ori.jpg,648,326,1
testingWoof,S_00005,RightInverse,rcic_mnes_1_00005_inv.jpg,rcic_mnes_1_00005_ori.jpg,613,335,-1
testingWoof,S_00090,RightInverse,rcic_mnes_1_00090_inv.jpg,rcic_mnes_1_00090_ori.jpg,600,319,-1
testingWoof,S_00069,RightInverse,rcic_mnes_1_00069_inv.jpg,rcic_mnes_1_00069_ori.jpg,635,309,-1
testingWoof,S_00031,LeftInverse,rcic_mnes_1_00031_inv.jpg,rcic_mnes_1_00031_ori.jpg,422,315,-1
testingWoof,S_00037,LeftInverse,rcic_mnes_1_00037_inv.jpg,rcic_mnes_1_00037_ori.jpg,399,322,-1
testingWoof,S_00097,RightInverse,rcic_mnes_1_00097_inv.jpg,rcic_mnes_1_00097_ori.jpg,548,328,-1
testingWoof,S_00034,RightInverse,rcic_mnes_1_00034_inv.jpg,rcic_mnes_1_00034_ori.jpg,649,328,-1
testingWoof,S_00080,LeftInverse,rcic_mnes_1_00080_inv.jpg,rcic_mnes_1_00080_ori.jpg,604,336,1
testingWoof,S_00095,RightInverse,rcic_mnes_1_00095_inv.jpg,rcic_mnes_1_00095_ori.jpg,355,337,1
testingWoof,S_00070,RightInverse,rcic_mnes_1_00070_inv.jpg,rcic_mnes_1_00070_ori.jpg,387,318,1
testingWoof,S_00075,RightInverse,rcic_mnes_1_00075_inv.jpg,rcic_mnes_1_00075_ori.jpg,388,320,1
testingWoof,S_00072,RightInverse,rcic_mnes_1_00072_inv.jpg,rcic_mnes_1_00072_ori.jpg,596,328,-1
testingWoof,S_00026,LeftInverse,rcic_mnes_1_00026_inv.jpg,rcic_mnes_1_00026_ori.jpg,613,328,1
testingWoof,S_00023,LeftInverse,rcic_mnes_1_00023_inv.jpg,rcic_mnes_1_00023_ori.jpg,412,324,-1
testingWoof,S_00088,RightInverse,rcic_mnes_1_00088_inv.jpg,rcic_mnes_1_00088_ori.jpg,612,312,-1
testingWoof,S_00020,LeftInverse,rcic_mnes_1_00020_inv.jpg,rcic_mnes_1_00020_ori.jpg,408,315,-1
testingWoof,S_00085,RightInverse,rcic_mnes_1_00085_inv.jpg,rcic_mnes_1_00085_ori.jpg,384,318,1
testingWoof,S_00033,RightInverse,rcic_mnes_1_00033_inv.jpg,rcic_mnes_1_00033_ori.jpg,383,324,1
testingWoof,S_00013,RightInverse,rcic_mnes_1_00013_inv.jpg,rcic_mnes_1_00013_ori.jpg,670,313,-1
testingWoof,S_00091,LeftInverse,rcic_mnes_1_00091_inv.jpg,rcic_mnes_1_00091_ori.jpg,405,332,-1
testingWoof,S_00058,LeftInverse,rcic_mnes_1_00058_inv.jpg,rcic_mnes_1_00058_ori.jpg,410,335,-1
testingWoof,S_00056,RightInverse,rcic_mnes_1_00056_inv.jpg,rcic_mnes_1_00056_ori.jpg,592,325,-1
testingWoof,S_00098,RightInverse,rcic_mnes_1_00098_inv.jpg,rcic_mnes_1_00098_ori.jpg,405,317,1
testingWoof,S_00055,LeftInverse,rcic_mnes_1_00055_inv.jpg,rcic_mnes_1_00055_ori.jpg,409,317,-1
testingWoof,S_00071,RightInverse,rcic_mnes_1_00071_inv.jpg,rcic_mnes_1_00071_ori.jpg,432,316,1
testingWoof,S_00038,LeftInverse,rcic_mnes_1_00038_inv.jpg,rcic_mnes_1_00038_ori.jpg,378,308,-1
testingWoof,S_00078,RightInverse,rcic_mnes_1_00078_inv.jpg,rcic_mnes_1_00078_ori.jpg,348,326,1
testingWoof,S_00066,LeftInverse,rcic_mnes_1_00066_inv.jpg,rcic_mnes_1_00066_ori.jpg,346,326,-1
testingWoof,S_00001,RightInverse,rcic_mnes_1_00001_inv.jpg,rcic_mnes_1_00001_ori.jpg,362,318,1
testingWoof,S_00008,LeftInverse,rcic_mnes_1_00008_inv.jpg,rcic_mnes_1_00008_ori.jpg,596,312,1
testingWoof,S_00048,RightInverse,rcic_mnes_1_00048_inv.jpg,rcic_mnes_1_00048_ori.jpg,379,300,1
testingWoof,S_00041,RightInverse,rcic_mnes_1_00041_inv.jpg,rcic_mnes_1_00041_ori.jpg,625,308,-1
testingWoof,S_00046,RightInverse,rcic_mnes_1_00046_inv.jpg,rcic_mnes_1_00046_ori.jpg,398,305,1
testingWoof,S_00017,RightInverse,rcic_mnes_1_00017_inv.jpg,rcic_mnes_1_00017_ori.jpg,357,308,1
testingWoof,S_00093,RightInverse,rcic_mnes_1_00093_inv.jpg,rcic_mnes_1_00093_ori.jpg,415,315,1
testingWoof,S_00079,RightInverse,rcic_mnes_1_00079_inv.jpg,rcic_mnes_1_00079_ori.jpg,696,315,-1
testingWoof,S_00064,RightInverse,rcic_mnes_1_00064_inv.jpg,rcic_mnes_1_00064_ori.jpg,574,316,-1
testingWoof,S_00068,LeftInverse,rcic_mnes_1_00068_inv.jpg,rcic_mnes_1_00068_ori.jpg,368,314,-1
testingWoof,S_00051,LeftInverse,rcic_mnes_1_00051_inv.jpg,rcic_mnes_1_00051_ori.jpg,645,325,1
testingWoof,S_00087,LeftInverse,rcic_mnes_1_00087_inv.jpg,rcic_mnes_1_00087_ori.jpg,636,328,1
testingWoof,S_00022,RightInverse,rcic_mnes_1_00022_inv.jpg,rcic_mnes_1_00022_ori.jpg,640,326,-1
testingWoof,S_00012,RightInverse,rcic_mnes_1_00012_inv.jpg,rcic_mnes_1_00012_ori.jpg,382,316,1
testingWoof,S_00053,LeftInverse,rcic_mnes_1_00053_inv.jpg,rcic_mnes_1_00053_ori.jpg,388,320,-1
testingWoof,S_00042,LeftInverse,rcic_mnes_1_00042_inv.jpg,rcic_mnes_1_00042_ori.jpg,634,318,1
